# Year	Total	Females	Males
0	2	1	1
1	16	8	8
2	47	25	22
3	206	108	98
4	696	361	335
5	2461	1281	1180
6	8908	4495	4413
7	30610	15316	15294
8	87793	43430	44363
9	52797	25977	26820
10	31855	15747	16108
11	19209	9488	9721
12	11455	5712	5743
13	6713	3290	3423
14	4069	2034	2035
15	2423	1204	1219
16	1433	709	724
17	844	420	424
18	388	186	202
19	144	68	76
20	36	20	16
