# Year	Total	Females	Males
0	2	1	1
1	12	5	7
2	41	23	18
3	135	71	64
4	503	245	258
5	1773	859	914
6	5916	3003	2913
7	20608	10289	10319
8	71047	35262	35785
9	71561	35503	36058
10	42630	21355	21275
11	25713	12881	12832
12	15439	7763	7676
13	9246	4658	4588
14	5592	2839	2753
15	3337	1672	1665
16	2052	1041	1011
17	1168	570	598
18	612	286	326
19	267	126	141
20	93	41	52
