# Year	Total	Females	Males
0	2	1	1
1	13	8	5
2	67	35	32
3	236	115	121
4	777	359	418
5	2522	1231	1291
6	8421	4147	4274
7	29328	14646	14682
8	88442	44068	44374
9	53172	26388	26784
10	31712	15743	15969
11	18934	9247	9687
12	11478	5563	5915
13	6886	3353	3533
14	4141	1994	2147
15	2452	1180	1272
16	1454	690	764
17	844	411	433
18	424	210	214
19	157	73	84
20	42	21	21
