# Year	Total	Females	Males
0	2	1	1
1	9	6	3
2	22	10	12
3	86	43	43
4	304	149	155
5	989	483	506
6	3128	1555	1573
7	10557	5272	5285
8	36843	18447	18396
9	85305	42692	42613
10	51062	25606	25456
11	30698	15365	15333
12	18325	9135	9190
13	10938	5452	5486
14	6593	3284	3309
15	3948	1990	1958
16	2394	1229	1165
17	1434	742	692
18	788	424	364
19	389	211	178
20	155	83	72
21	39	24	15
22	8	3	5
23	0	0	0
